Year,Species,Type,Metric Tons,Pounds,USD
2014,LOBSTER,AMERICAN,67136.1,148008240,567071687
2014,LOBSTER,BANDED SPINY,4.6,10172,104091
2014,LOBSTER,CALIFORNIA SPINY,431.6,951435,18238492
2014,LOBSTER,CARIBBEAN SPINY,2532.1,5582160,58571191
2014,LOBSTER,SLIPPER,0.8,1838,4943
2015,LOBSTER,AMERICAN,66683.6,147010762,622035173
2015,LOBSTER,CALIFORNIA SPINY,348.3,767810,15806408
2015,LOBSTER,CARIBBEAN SPINY,2690.2,5930907,47787547
2015,LOBSTER,SLIPPER,0,9,11
2015,LOBSTER,SPANISH,0.4,895,3621
2016,LOBSTER,AMERICAN,72279.2,159346664,670041557
2016,LOBSTER,BANDED SPINY,1.4,3191,27430
2016,LOBSTER,CALIFORNIA SPINY,308.4,679995,13730988
2016,LOBSTER,CARIBBEAN SPINY,2453.7,5409323,44287111
2016,LOBSTER,SLIPPER,0.1,138,1070
2016,LOBSTER,SPANISH,0.3,710,3679
2017,LOBSTER,AMERICAN,60316,132972729,552055840
2017,LOBSTER,BANDED SPINY,1.4,3110,19984
2017,LOBSTER,CALIFORNIA SPINY,319,703200,13332805
2017,LOBSTER,CARIBBEAN SPINY,1743,3842670,33625682
2017,LOBSTER,SLIPPER,0,88,745
2017,LOBSTER,SPANISH,0.7,1509,2750
